S-No.,variant 1,variant 2,variant 3,variant 4,variant 5,variant 6
2360,124.11,132.863,141.016,1.366,1.147,0
2361,129.97,124.77,139.028,1.37,1.18,4
2362,132.319,122.72,149.343,1.306,1.078,1
2363,123.26,124.316,136.712,1.373,1.236,0
2364,127.021,123.997,137.038,1.002,1.312,2
2365,121.047,134.041,151.754,1.154,1.239,4
2366,137.907,134.697,153.051,1.282,1.015,4
2367,131.116,120.684,148.517,1.098,1.034,3
2368,130.344,128.866,150.061,1.219,1.2,4
2369,133.9,126.182,141.071,1.208,1.156,4
2370,126.165,130.57,137.097,1.338,1.178,2
2371,127.152,130.577,142.78,1.353,1.278,3
2372,137.956,130.972,142.32,0.954,1.369,1
2373,124.232,122.006,151.954,1.066,1.044,1
2374,122.885,129.666,138.629,1.212,1.127,0
2375,126.568,122.785,150.273,1.377,1.009,3
2376,127.452,133.709,149.485,1.211,1.204,3
2377,137.951,133.156,144.3,0.996,1.177,5
2378,135.609,122.887,140.358,1.003,1.267,5
2379,127.387,130.122,149.775,0.961,1.075,1
2380,125.954,120.584,151.1,1.273,1.146,4
2381,133.082,129.002,150.099,0.998,1.297,4
2382,124.935,132.386,135.728,1.007,1.155,3
2383,123.21,120.989,150.246,1.058,1.101,5
2384,125.871,122.413,148.473,1.205,1.306,2
2385,123.214,134.865,138.079,1.368,1.373,1
2386,126.059,128.551,153.379,1.17,1.28,2
2387,130.75,126.347,144.361,1.272,1.249,0
2388,126.239,129.153,146.411,1.008,1.276,5
2389,137.455,120.76,145.049,1.062,1.252,0
2390,121.16,125.178,153.719,1.392,1.266,0
2391,124.382,129.898,142.651,1.18,1.052,3
2392,123.522,122.963,140.819,0.995,1.17,3
2393,124.6,127.079,145.225,1.294,1.254,2
2394,131.326,126.466,139.441,1.24,1.093,5
2395,125.011,121.104,141.822,0.978,1.342,5
2396,136.114,132.306,135.499,1.156,1.178,1
2397,133.532,133.499,147.169,1.321,1.128,5
2398,125.375,123.324,141.535,1.277,1.291,5
2399,124.6,134.784,137.587,1.18,1.084,1
2400,124.206,122.121,146.153,1.239,1.054,4
2401,122.988,123.101,149.912,1.165,1.1,3
2402,135.535,131.466,148.882,0.991,1.15,3
2403,122.829,125.153,137.887,1.367,1.061,2
2404,130.852,132.948,150.783,0.971,1.356,4
2405,133.856,128.91,149.044,1.061,1.344,1
2406,129.185,120.027,153.96,1.297,1.213,3
2407,128.458,122.089,152.815,1.126,1.075,4
2408,137.948,130.296,139.208,1.395,1.318,2
2409,133.613,134.71,153.132,1.164,1.086,0
2410,124.792,134.953,150.73,0.99,1.168,1
2411,136.46,125.908,146.003,1.064,1.126,2
2412,132.499,121.124,144.04,1.314,1.334,0
2413,129.763,130.384,138.191,1.268,1.33,4
2414,125.18,129.412,144.744,1.042,1.252,0
2415,126.937,126.806,136.758,1.061,1.367,0
2416,126.559,126.675,137.775,1.143,1.238,5
2417,129.107,131.299,152.609,1.143,1.261,2
2418,134.369,124.371,149.317,1.172,1.317,1
2419,137.908,121.298,150.582,0.951,1.108,2
2420,125.3,133.666,143.531,1.004,1.064,4
2421,130.069,121.857,152.913,1.361,1.36,5
2422,135.698,127.849,144.484,1.063,1.035,1
2423,134.281,123.348,145.515,1.272,1.098,5
2424,121.755,125.424,152,1.282,1.227,1
2425,125.802,130.852,144.99,1.252,1.365,1
2426,131.95,130.604,137.983,1.219,1.117,5
2427,134.315,129.702,144.27,1.373,1.123,0
2428,136.381,131.117,137.237,0.997,1.255,0
2429,127.883,125.189,137.581,1.124,1.233,4
2430,135.784,120.9,140.201,1.2,1.216,4
2431,130.504,127.062,144.963,1.138,1.362,5
2432,122.328,122.735,142.225,1.07,1.114,0
2433,130.731,121.881,152.151,1.392,1.286,3
2434,134.282,125.986,147.417,1.189,1.213,3
2435,137.841,129.769,141.309,1.321,1.016,3
2436,123.631,126.547,138.696,1.302,1.072,2
2437,130.825,128.219,142.068,1.282,1.203,1
2438,129.314,132.425,149.504,1.392,1.075,4
2439,123.808,127.004,146.265,1.331,1.048,5
2440,126.559,129.541,141.6,1.263,1.047,3
2441,124.406,130.395,148.484,0.999,1.329,2
2442,136.933,133.195,147.529,1.204,1.167,4
2443,136.559,129.557,151.883,1.001,1.308,1
2444,121.007,134.727,147.497,1.378,1.235,1
2445,122.005,134.168,138.42,1.128,1.115,2
2446,122.938,125.436,144.062,1.36,1.378,4
2447,127.618,134.184,141.512,0.973,1.134,5
2448,133.223,122.274,138.259,1.262,1.354,3
2449,132.089,134.464,135.46,1.029,1.163,4
2450,123.801,132.212,152.243,1.257,1.01,5
2451,124.076,134.115,144.873,0.968,1.249,3
2452,137.598,132.765,152.279,1.232,1.154,4
2453,126.681,129.535,142.646,1.016,1.258,1
2454,122.994,122.588,147.396,1.087,1.162,5
2455,127.794,134.49,143.015,0.961,1.394,0
2456,126.685,129.823,153.362,1.283,1.219,2
2457,129.397,122.153,146.061,0.974,1.334,3
2458,135.902,121.835,141.474,1.055,1.393,4
2459,123.379,128.685,151.431,1.225,1.398,3
2460,133.452,127.67,149.759,1.322,1.089,0
2461,129.55,132.011,143.913,1.324,1.335,2
2462,128.886,122.748,144.809,1.36,1.018,3
2463,123.377,127.452,138.812,1.355,1.253,0
2464,129.18,120.485,137.294,1.211,1.288,5
2465,137.63,133.45,136.374,1.356,1.13,3
2466,126.688,130.53,139.18,1.395,1.199,3
2467,121.608,122.062,142.13,1.003,1.118,1
2468,124.373,123.462,145.498,1.379,1.051,3
2469,130.494,121.47,139.939,1.212,1.065,0
2470,127.103,129.925,152.842,1.093,1.009,4
2471,130.002,122.676,146.73,1.1,1.317,1
2472,136.258,131.172,141.032,1.252,1.265,2
2473,131.186,124.082,150.103,1.076,1.018,4
2474,136.92,125.326,137.773,1.037,1.072,1
2475,124.429,122.65,148.805,1.144,1.321,0
2476,131.589,121.746,136.94,1.363,1.078,3
2477,127.008,133.908,150.776,1.276,1.041,3
2478,135.301,129.25,137.212,1.397,1.1,5
2479,130.993,134.221,137.457,1.178,1.22,2
2480,137.991,133.795,135.927,1.399,1.299,3
2481,130.004,129.12,150.846,1.082,1.1,0
2482,137.411,133.277,135.33,1.068,1.064,4
2483,121.777,125.156,147.27,1.35,1.312,1
2484,134.82,128.593,153.756,0.991,1.047,4
2485,133.019,129.697,146.063,1.254,1.384,0
2486,123.773,122.383,152.647,1.009,1.245,2
2487,126.1,122.198,142.143,1.128,1.077,4
2488,127.374,120.325,145.556,1.061,1.12,2
2489,124.102,129.585,145.472,1.333,1.077,4
2490,127.377,134.474,136.23,1.225,1.171,5
2491,131.671,133.756,140.879,1.396,1.201,4
2492,128.825,121.255,151.155,1.023,1.234,2
2493,127.203,132.81,137.47,1.176,1.184,4
2494,135.978,127.353,136.335,1.254,1.076,5
2495,125.384,133.193,145.855,1.226,1.199,3
2496,132.355,129.987,147.947,0.955,1.241,3
2497,128.944,128.439,136.93,1.067,1.181,2
2498,124.298,124.337,146.036,1.259,1.119,0
2499,134.76,127.386,141.017,0.997,1.053,3
2500,137.98,123.975,142.41,1.225,1.079,3
2501,133.839,133.049,144.581,1.181,1.369,3
2502,136.843,120.154,141.758,0.99,1.342,5
2503,129.143,129.48,151.855,1.135,1.231,5
2504,133.507,120.102,150.688,1.373,1.37,0
2505,122.425,133.145,138.788,1.359,1.168,5
2506,134.453,132.358,143.614,1.294,1.2,1
2507,130.001,123.05,145.205,0.977,1.159,3
2508,129.497,130.416,148.557,1.367,1.188,1
2509,132.811,129.198,148.444,1.282,1.025,2
2510,125.371,128.42,143.452,0.973,1.218,3
2511,127.491,124.262,149.393,1.157,1.216,4
2512,123.699,120.818,152.018,1.038,1.222,0
2513,125.341,133.413,142.325,1.247,1.058,0
2514,136.854,124.874,146.699,1.188,1.143,5
2515,134.777,129.033,139.204,1.384,1.175,3
2516,134.936,126.203,147.323,0.958,1.054,5
2517,125.075,132.857,142.579,1.235,1.221,3
2518,136.01,130.6,148.535,1.34,1.275,4
2519,132.546,132.514,143.221,1.162,1.118,2
2520,136.044,132.962,149.356,1.293,1.277,0
2521,133.404,126.746,144.937,1.332,1.324,4
2522,137.426,131.867,147.1,1.169,1.249,3
2523,125.825,121.58,148.142,1.256,1.33,3
2524,132.657,132.011,150.313,1.324,1.099,1
2525,137.063,128.768,146.714,1.189,1.295,1
2526,123.082,123.923,144.423,1.343,1.267,4
2527,137.488,128.238,138.524,1.027,1.39,1
2528,137.911,132.925,152.943,1.042,1.097,2
2529,126.405,123.32,138.948,1.02,1.27,2
2530,137.071,121.373,140.251,0.991,1.146,3
2531,129.986,125.539,152.358,1.201,1.102,4
2532,134.824,130.416,146.538,1.291,1.079,5
2533,126.982,126.185,151.378,1.178,1.284,3
2534,134.09,121.52,144.858,1.093,1.353,0
2535,136.337,126.554,140.762,1.256,1.066,0
2536,136.89,130.245,151.803,1.348,1.313,3
2537,135.588,127.626,139.685,1.205,1.098,4
2538,129.333,121.673,147.469,0.989,1.278,3
2539,136.265,128.789,141.545,1.131,1.075,2
2540,124.522,124.519,147.563,1.287,1.354,3
2541,133.599,128.641,144.48,1.018,1.381,5
2542,128.868,123.862,136.732,1.262,1.389,4
2543,122.193,123.379,136.055,0.999,1.366,3
2544,134.329,123.187,151.083,0.963,1.368,5
2545,124.326,121.198,142.825,1.311,1.288,4
2546,124.004,127.87,137.08,1.07,1.061,0
2547,124.433,129.12,136.408,1.092,1.328,5
2548,129.479,127.292,147.548,1.237,1.363,4
2549,124.407,134.555,146.208,1.191,1.27,1
2550,135.699,120.127,150.072,1.279,1.004,5
2551,136.436,122.139,147.08,1.272,1.099,0
2552,129.566,133.725,144.567,1.151,1.246,5
2553,137.517,127.91,146.42,1.293,1.273,4
2554,127.913,134.012,143.227,1.244,1.156,0
2555,128.254,125.625,150.684,1.307,1.317,4
2556,124.949,129.274,139.963,1.04,1.188,5
2557,131.083,123.139,152.016,1.214,1.241,4
2558,126.212,133.64,149.124,1.344,1.286,5
2559,122.994,129.416,148.768,1.382,1.333,3
2560,131.272,134.732,146.933,0.96,1.244,3
2561,129.905,132.889,153.238,1.083,1.008,0
2562,124.169,133.106,143.74,1.087,1.256,3
2563,134.17,121.043,142.56,1.243,1.066,4
2564,123.174,129.873,145.286,1.19,1.056,0
2565,133.858,129.781,148.75,1.122,1.248,5
2566,132.699,132.842,143.115,1.035,1.176,1
2567,126.842,133.403,149.681,1.397,1.174,0
2568,122.011,132.671,139.13,1.369,1.346,5
2569,132.152,120.033,148.141,1.076,1.168,0
2570,122.545,133.399,148.187,1.207,1.38,0
2571,130.124,120.158,135.002,1.131,1.265,1
2572,129.648,129.15,142.801,1.141,1.026,4
2573,124.551,132.97,146.138,1.078,1.394,2
2574,127.806,132.869,150.633,1.168,1.272,2
2575,129.302,125.118,143.181,1.132,1.135,0
2576,132.638,133.365,143.585,1.381,1.011,2
2577,136.582,123.834,151.907,1.082,1.34,5
2578,137.778,133.551,147.29,1.183,1.197,1
2579,134.546,134.919,151.179,1.194,1.108,0
2580,126.477,125.587,151.955,1.324,1.291,2
2581,129.152,132.219,140.768,1.262,1.251,1
2582,125.081,131.589,147.145,1.235,1.271,2
2583,128.701,125.194,139.531,1.147,1.338,1
2584,130.06,129.971,145.249,1.153,1.267,3
2585,125.504,130.386,138.076,1.067,1.375,4
2586,137.726,123.751,150.282,1.285,1.151,2
2587,126.439,120.943,152.305,1.342,1.363,4
2588,124.1,128.665,145.055,1.309,1.305,1
2589,124.113,121.372,146.182,1.353,1.183,1
2590,134.296,132.349,149.081,1.397,1.212,4
2591,129.081,126.575,147.649,1.044,1.129,1
2592,124.275,133.62,151.818,0.994,1.187,4
2593,128.569,129.984,137.369,1.093,1.245,0
2594,129.005,124.359,145.63,1.303,1.13,0
2595,127.488,134.695,151.341,1.249,1.238,3
2596,128.073,121.216,148.355,1.204,1.07,4
2597,126.696,125.598,138.993,1.21,1.253,5
2598,130.061,128.76,137.92,1.121,1.384,5
2599,126.716,125.208,146.276,1.287,1.217,3
2600,128.551,133.558,151.888,1.332,1.349,0
2601,121.828,130.044,146.041,1.376,1.142,1
2602,135.675,125.261,136.121,1.283,1.214,2
2603,121.419,120.794,145.515,0.962,1.207,2
2604,132.205,133.921,148.656,1.039,1.223,4
2605,136.97,128.17,147.575,1.092,1.076,0
2606,137.791,130.448,145.428,1.11,1.182,5
2607,136.849,125.173,139.139,1.071,1.188,3
2608,121.982,129.677,143.672,1.268,1.362,0
2609,121.288,129.226,150.857,1.007,1.285,3
2610,130.248,125.376,143.615,1.126,1.157,1
2611,137.727,130.353,139.688,1.304,1.013,1
2612,133.343,125.264,142.46,1.238,1.032,2
2613,132.045,130.218,148.919,0.968,1.26,4
2614,134.45,125.591,139.062,1.096,1.009,3
2615,129.362,120.977,137.869,1.149,1.285,0
2616,129.579,133.713,148.248,1.202,1.375,5
2617,123.642,125.127,138.62,1.349,1.38,3
2618,136.209,124.959,147.746,1.361,1.116,3
2619,129.41,125.822,149.114,0.999,1.061,1
2620,135.825,124.876,147.08,0.996,1.284,2
2621,135.552,121.354,143.894,1.23,1.376,1
2622,124.031,123.586,152.364,1.278,1.262,2
2623,122.712,125.69,144.363,1.12,1.356,4
2624,130.844,123.134,152.985,1.022,1.19,1
2625,123.546,131.51,135.93,1.333,1.057,2
2626,135.201,126.699,151.891,1.29,1.054,1
2627,135.649,123.702,138.342,1.16,1.319,3
2628,122.244,126.212,148.036,1.154,1.272,0
2629,123.922,134.535,138.152,1.045,1.066,3
2630,128.22,123.5,150.451,1.187,1.158,4
2631,135.077,125.001,144.211,1.183,1.169,4
2632,136.998,121.26,153.64,1.354,1.249,3
2633,124.054,121.444,151.229,1.361,1.258,1
2634,135.672,132.823,147.761,1.319,1.238,0
2635,131.878,130.824,141.491,0.956,1.196,3
2636,135.007,128.337,152.413,1.214,1.232,4
2637,137.102,120.042,135.441,0.992,1.371,1
2638,125.366,122.188,147.529,1.274,1.036,5
2639,131.051,129.509,146.72,1.359,1.001,2
2640,121.846,121.281,141.238,1.145,1.115,2
2641,123.118,129.744,143.407,1.041,1.329,5
2642,135.031,130.633,144.062,0.986,1.167,5
2643,129.015,134.045,148.296,1.092,1.008,0
2644,137,132.552,151.808,0.967,1.02,5
2645,125.21,127.935,145.1,1.188,1.036,3
2646,126.601,125.792,142.746,1.37,1.191,4
2647,121.546,131.874,152.412,0.978,1.101,3
2648,132.734,120.52,151.597,1.038,1.085,0
2649,129.601,129.451,143.018,1.105,1.063,1
2650,126.912,132.066,150.794,1.187,1.164,2
2651,124.665,123.959,142.842,1.331,1.38,2
2652,135.46,127.527,139.004,1.023,1.129,4
2653,136.938,131.433,151.763,1.158,1.087,4
2654,126.18,132.582,151.712,1.262,1.033,5
2655,128.541,126.296,142.039,1.328,1.093,2
2656,135.078,131.892,149.434,1.304,1.125,1
2657,137.731,122.29,149.694,1.279,1.081,0
2658,135.737,132.848,144.246,1.279,1.083,0
2659,137.23,131.746,138.391,1.326,1.189,4
2660,132.953,128.091,138.32,1.034,1.061,0
2661,130.026,126.664,151.253,1.044,1.292,0
2662,125.745,127.094,143.621,1.171,1.225,3
2663,131.527,127.236,135.531,1.312,1.103,2
2664,133.516,127.731,153.9,1.09,1.183,0
2665,127.241,120.376,137.48,1.209,1.014,0
2666,122.706,126.907,135.538,1.149,1.163,3
2667,129.282,133.777,151.712,0.987,1.069,2
2668,125.566,121.194,143.912,1.224,1.348,5
2669,129.178,133.262,145.16,1.283,1.094,4
2670,123.532,133.736,149.566,1.334,1.069,1
2671,127.74,123.433,152.331,1.399,1.39,5
2672,129.4,126.936,135.829,1.06,1.245,0
2673,133.957,122.792,141.358,0.98,1.187,3
2674,132.831,129.229,151.796,0.955,1.296,4
2675,124.593,128.645,136.546,1.338,1.334,5
2676,125.703,120.23,136.035,1.063,1.006,0
2677,121.789,126.293,136.504,1.38,1.195,4
2678,121.703,122.892,150.535,0.966,1.234,0
2679,135.08,132.009,151.662,0.982,1.262,5
2680,126.393,127.48,137.317,1.291,1.341,1
2681,137.404,120.188,150.762,1.25,1.046,0
2682,132.325,134.708,138.847,1.215,1.14,3
2683,137.631,123.093,135.371,1.296,1.399,0
2684,128.296,133.669,150.109,1.38,1.068,5
2685,121.637,121.507,151.168,1.238,1.346,4
2686,133.962,126.389,138.833,0.953,1.224,5
2687,131.828,127.832,138.033,0.991,1.309,2
2688,123.393,122.37,150.982,1.327,1.199,2
2689,132.486,131.373,145.957,0.995,1.214,2
2690,130.94,125.731,137.362,1.241,1.334,3
2691,124.528,132.513,151.347,1.368,1.212,1
2692,125.505,126.118,138.139,1.195,1.319,5
2693,124.571,132.566,135.244,1.183,1.118,4
2694,124.106,120.54,138.63,1.195,1.317,2
2695,125.615,132.062,153.39,1.089,1.358,4
2696,128.67,120.283,137.503,1.091,1.138,3
2697,126.298,130.256,144.803,1.023,1.155,4
2698,134.777,124.643,153.68,1.316,1.169,2
2699,129.314,122.469,140.769,1.348,1.037,1
2700,137.937,125.569,147.937,0.958,1.39,2
2701,131.33,122.343,141.1,1.163,1.072,0
2702,130.674,122.166,135.198,1.224,1.35,2
2703,135.18,128.388,143.668,1.157,1.205,4
2704,128.618,134.528,144.184,1.316,1.306,5
2705,126.268,124.103,148.555,1.057,1.376,4
2706,123.789,132.944,148.51,1.123,1.384,1
2707,125.93,121.142,141.124,1.327,1.292,3
2708,133.255,133.269,145.536,1.176,1.256,1
2709,135.521,125.571,142.358,1.235,1.315,4
2710,121.795,132.657,141.409,1.296,1.05,4
2711,124.943,129.241,140.504,1.292,1.145,2
2712,127.936,126.188,135.562,1.355,1.042,1
2713,123.28,124.758,142.558,1.288,1.204,5
2714,129.184,128.973,147.934,1.239,1.116,5
2715,126.647,122.814,149.749,1.231,1.198,5
2716,132.428,132.268,142.342,1.251,1.152,4
2717,135.587,130.758,148.669,1.123,1.108,4
2718,122.902,124.117,137.671,1.164,1.318,3
2719,129.853,122.013,141.598,1.075,1.375,5
2720,133.174,122.136,138.408,1.035,1.121,0
2721,124.807,132.52,146.285,1.279,1.023,1
2722,129.119,122.519,139.304,1.009,1.257,0
2723,132.749,131.108,152.659,1.392,1.112,3
2724,131.901,122.425,144.976,0.987,1.371,1
2725,136.311,121.353,146.534,1.164,1.107,0
2726,135.01,129.047,147.275,1.171,1.163,2
2727,129.607,123.698,135.167,1.047,1.288,2
2728,133.828,127.091,140.477,1.275,1.058,4
2729,131.851,122.255,148.524,1.11,1.332,3
2730,124.437,131.991,143.536,1.374,1.094,3
2731,129.633,129.792,151.087,1.343,1.247,4
2732,137.456,126.4,145.96,1.002,1.029,3
2733,132.534,120.258,146.518,1.201,1.105,5
2734,125.742,134.436,140.05,0.961,1.268,1
2735,123.081,123.839,136.345,1.329,1.198,0
2736,121.951,126.092,151.816,1.38,1.223,2
2737,122.648,125.199,136.428,1.07,1.394,0
2738,124.33,124.579,149.412,1.021,1.351,3
2739,135.304,122.542,137.723,1.391,1.177,0
2740,127.232,124.212,147.399,1.356,1.31,3
2741,131.919,128.494,135.645,1.307,1.074,5
2742,129.775,126.122,140.604,0.964,1.2,4
2743,126.897,132.333,143.902,0.969,1.023,0
2744,133.206,126.331,136.899,1.388,1.3,0
2745,125.776,133.321,140.668,1.094,1.294,3
2746,135.855,127.227,140.767,1.317,1.335,2
2747,135.657,123.856,143.38,1.341,1.336,4
2748,135.019,122.836,135.651,1.34,1.084,1
2749,130.575,132.114,150.263,1.326,1.356,0
2750,137.659,128.064,151.04,0.993,1.261,3
2751,123.891,120.826,142.175,1.133,1.118,0
2752,133.21,128.044,150.964,1.01,1.229,3
2753,126.069,132.426,141.032,1.093,1.082,5
2754,123.918,131.644,137.771,1.157,1.392,1
2755,123.058,120.149,137.641,0.964,1.024,2
2756,132.126,130.013,142.88,1.307,1.302,1
2757,135.453,120.024,135.018,0.966,1.192,4
2758,137.305,128.263,153.95,0.965,1.271,5
2759,135.803,130.519,153.672,1.139,1.171,4
2760,131.955,131.973,145.849,1.309,1.151,2
2761,134.665,126.279,150.156,1.393,1.267,3
2762,135.471,131.849,144.544,1.392,1.246,0
2763,122.324,134.792,139.077,1.073,1.159,4
2764,128.329,134.776,138.514,1.296,1.346,1
2765,125.954,129.882,151.273,1.083,1.305,5
2766,121.714,124.875,145.032,1.156,1.331,1
2767,134.301,123.311,147.949,1.27,1.389,5
2768,121.737,122.799,144.011,1.131,1.044,2
2769,121.554,127.938,137.574,1.109,1.189,5
2770,130.678,123.114,152.245,1.288,1.24,5
2771,131.417,124.602,152.432,1.329,1.146,2
2772,126.683,123.863,145.834,1.131,1.385,2
2773,126.698,122.84,141.152,1.117,1.187,0
2774,127.427,122.316,146.383,1.087,1.103,0
2775,133.126,123.975,144.901,1.359,1.208,0
2776,133.173,123.194,144.883,1.221,1.032,5
2777,136.181,121.624,140.49,1.239,1.269,5
2778,130.775,123.209,153.086,1.24,1.098,2
2779,130.625,127.675,149.673,1.302,1.383,2
2780,126.599,133.173,148.007,1.214,1.391,4
2781,135.376,123.343,141.945,1.311,1.26,1
2782,130.767,120.547,135.824,1.232,1.166,0
2783,136.73,123.817,138.377,1.273,1.372,4
2784,127.176,123.118,142.778,0.96,1.349,3
2785,123.673,131.78,135.215,1.26,1.261,0
2786,127.678,132.664,148.387,1.221,1.059,2
2787,121.434,128.036,152.587,1.019,1.374,5
2788,134.437,127.645,150.478,1.072,1.14,3
2789,136.147,125.374,149.459,1.279,1.336,5
2790,137.176,125.622,137.233,1.169,1.265,0
2791,130.91,132.391,140.25,1.086,1.027,5
2792,133.478,125.353,138.001,1.347,1.03,3
2793,134.737,127.956,147.526,1.359,1.335,3
2794,122.699,125.577,148.185,0.95,1.297,5
2795,124.471,128.742,138.285,1.046,1.175,0
2796,130.531,125.311,142.417,1.289,1.109,4
2797,121.516,128.206,145.471,1.159,1.046,0
2798,133.663,132.974,150.918,1.021,1.174,1
2799,124.944,133.259,137.879,1.064,1.083,4
2800,126.637,133.427,145.21,1.092,1.191,0
2801,129.586,130.256,138.544,1.379,1.07,0
2802,132.319,128.543,150.832,0.975,1.177,1
2803,128.845,120.229,139.117,1.101,1.339,1
2804,128.322,130.328,141.835,1.169,1.246,4
2805,123.059,121.096,142.402,1.193,1.134,5
2806,131.052,122.683,137.925,1.03,1.089,2
2807,131.525,122.052,135.521,1.226,1.007,3
2808,124.035,125.494,152.673,1.205,1.315,0
2809,137.986,123.142,153.042,1.134,1.17,4
2810,123.066,120.868,149.744,1.123,1.114,1
2811,130.526,121.341,143.952,1.18,1.182,5
2812,128.181,134.496,138.94,1.366,1.027,1
2813,123.309,134.707,141.143,1.258,1.254,1
2814,129.5,128.203,141.685,1.049,1.358,3
2815,130.382,127.272,146.483,1.079,1.097,0
2816,121.463,130.907,151.313,1.189,1.389,4
2817,128.093,122.698,143.174,1.363,1.141,4
2818,125.978,120.859,148.824,1.315,1.372,5
2819,122.872,125.595,145.927,1.251,1.044,5
2820,134.551,130.791,144.323,1.041,1.081,2
2821,122.926,134.468,140.285,1.129,1.355,1
2822,131.169,125.862,146.062,1.164,1.033,0
2823,127.065,126.92,139.152,1.073,1.322,5
2824,124.587,133.07,140.49,1.01,1.286,2
2825,126.273,129.749,137.768,1.172,1.365,0
2826,134.827,134.442,147.136,1.252,1.264,3
2827,127.66,133.131,142.4,1.055,1.12,5
2828,125.521,132.091,146.923,1.183,1.183,4
2829,127.588,130.257,145.346,1.236,1.109,4
2830,123.384,133.952,151.294,1.009,1.325,3
2831,125.377,123.302,144.583,1.032,1.086,2
2832,124.981,130.696,151.421,1.322,1.131,2
2833,124.553,133.579,144.198,1.307,1.093,2
2834,130.887,130.475,143.645,1.256,1.338,5
2835,128.862,126.106,135.611,1.123,1.369,3
2836,137.693,124.079,137.076,1.127,1.381,3
2837,130.953,133.591,143.328,1.232,1.397,1
2838,126.877,126.995,146.702,1.309,1.027,4
2839,122.792,128.66,153.164,1.095,1.382,4
2840,128.159,125.877,140.287,0.958,1.284,3
2841,132.316,133.553,152.952,1.378,1.04,2
2842,132.613,133.464,142.148,1.08,1.008,0
2843,137.917,121.162,138.487,1.108,1.4,4
2844,121.412,133.553,135.975,0.955,1.124,4
2845,135.809,123.503,142.027,1.07,1.238,1
2846,135.825,128.87,140.338,0.961,1.23,4
2847,127.962,121.767,136.901,1.156,1.166,2
2848,126.312,125.24,139.195,1.012,1.264,5
2849,126.361,129.095,136.981,1.175,1.332,4
2850,130.274,122.429,153.068,1.181,1.398,1
2851,125.983,125.131,144.927,1.091,1.108,5
2852,122.709,124.765,136.986,1.129,1.345,4
2853,132.892,121.415,142.943,1.08,1.191,3
2854,136.526,125.719,147.174,1.21,1.197,5
2855,128.909,127.521,136.682,1.298,1.101,4
2856,136.543,124.979,148.231,1.161,1.275,4
2857,133.682,122.953,140.256,1.264,1.349,4
2858,137.14,128.457,140.437,1.077,1.04,1
2859,134.57,129.814,150.778,1.036,1.269,2
2860,123.774,124.69,150.965,0.966,1.171,5
2861,129.597,129.794,153.875,0.952,1.393,0
2862,131.44,126.072,144.023,1.236,1.346,0
2863,128.527,124.49,150.15,1.132,1.287,0
2864,136.305,121.409,147.565,1.09,1.228,3
2865,130.284,132.181,142.506,1.019,1.384,3
2866,134.401,134.132,138.003,1.026,1.1,3
2867,126.121,131.989,137.962,1.074,1.293,5
2868,136.93,120.676,146.899,1.115,1.337,2
2869,136.572,123.494,145.641,1.132,1.066,5
2870,127.642,124.956,149.252,1.244,1.269,2
2871,134.052,125.387,144.693,1.162,1.179,1
2872,126.344,128.838,141.582,1.044,1.388,2
2873,126.683,129.951,142.398,1.345,1.144,1
2874,136.247,126.547,147.325,1.039,1.385,1
2875,129.723,130.716,135.431,0.961,1.149,3
2876,133.635,120.656,148.531,1.053,1.077,5
2877,129.198,125.26,140.047,1.258,1.045,2
2878,132,120.861,140.688,0.988,1.144,4
2879,134.596,132.909,143.743,1.063,1.35,4
2880,132.842,130.78,148.546,1.231,1.219,3
2881,124.614,128.099,140.5,1.332,1.229,1
2882,128.014,125.553,142.804,1.167,1.256,2
2883,132.972,127.266,142.469,1.053,1.138,4
2884,137.95,128.696,151.761,1.252,1.324,1
2885,136.413,121.175,138.93,0.986,1.169,4
2886,121.828,124.804,150.187,1.311,1.34,0
2887,137.593,133.855,142.63,1.141,1.149,1
2888,122.192,131.861,139.216,0.951,1.078,3
2889,126.782,121.819,145.159,1.08,1.382,2
2890,123.784,123.171,150.59,1.01,1.08,3
2891,131.764,124.935,143.142,0.976,1.16,0
2892,124.645,127.717,143.444,1.375,1.063,4
2893,136.26,134.487,153.753,1.386,1.344,1
2894,131.593,130.404,137.717,1.185,1.042,3
2895,133.567,132.166,135.665,1.156,1.085,3
2896,128.492,131.862,153.846,1.314,1.252,1
2897,134.416,127.972,140.589,1.231,1.279,2
2898,129.542,130.896,141.073,1.047,1.377,5
2899,127.715,133.574,151.598,1.206,1.148,3
2900,136.388,121.535,143.039,1.395,1.216,5
2901,134.896,131.972,151.439,1.357,1.195,3
2902,126.555,131.003,135.7,1.066,1.16,2
2903,133.595,126.031,147.901,0.951,1.389,1
2904,125.82,130.438,151.411,1.256,1.124,5
2905,127.909,120.203,142.712,1.128,1.145,1
2906,127.488,132.336,147.117,1.173,1.374,1
2907,122.219,125.859,145.067,1.147,1.007,5
2908,123.005,128.868,152.055,1.332,1.102,5
2909,131.627,122.439,153.181,1.282,1.054,1
2910,121.045,134.074,140.729,1.318,1.216,4
2911,121.026,131.148,138.265,1.338,1.043,5
2912,136.616,128.191,151.908,0.957,1.316,0
2913,130.137,129.88,142.23,0.979,1.201,3
2914,129.981,129.54,142.989,1.046,1.075,5
2915,123.515,125.165,146.372,1.141,1.018,2
2916,136.35,125.816,144.259,1.168,1.194,0
2917,124.116,124.418,145.991,1.296,1.244,5
